"","ROI","Th1","Th2","Th17"
"1","PR8_1_2_ss2_4 | 1 | Full ROI",-0.00200430926491957,-0.00200430926491957,-0.132529441242796
"5","PR8_1_2_ss2_4 | 2 | Full ROI",0.00792537288503614,0.00792537288503614,-0.165741668754698
"13","PR8_3_4_ss3_8 | 1 | Full ROI",-0.0367122647024435,-0.0367122647024435,-0.120871961914307
"17","PR8_3_4_ss3_8 | 2 | Full ROI",0.012101017186952,0.012101017186952,-0.0933099473816086
"16","PR8_3_4_ss3_8 | 12 | Full ROI",0.0750530306826344,0.0750530306826344,-0.113185918316211
"19","PR8_3_4_ss3_8 | 4 | Full ROI",0.0726645621419385,0.0726645621419385,-0.142608368829867
"20","PR8_3_4_ss3_8 | 5 | Full ROI",-0.110278766013596,-0.110278766013596,-0.151879228263593
"21","PR8_3_4_ss3_8 | 6 | Full ROI",-0.0986788261428738,-0.0986788261428738,-0.161137559508895
"22","PR8_3_4_ss3_8 | 7 | Full ROI",-0.00970419735765227,-0.00970419735765227,-0.13916311701328
"2","PR8_1_2_ss2_4 | 10 | Full ROI",0.0471096190142138,0.0471096190142138,-0.215027562014533
"3","PR8_1_2_ss2_4 | 11 | Full ROI",0.0663092315144227,0.0663092315144227,-0.189376096216487
"4","PR8_1_2_ss2_4 | 12 | Full ROI",0.0743682250171201,0.0743682250171201,-0.110316963167126
"6","PR8_1_2_ss2_4 | 3 | Full ROI",0.0929498421606454,0.0929498421606454,-0.127004510147833
"7","PR8_1_2_ss2_4 | 4 | Full ROI",0.0996392243323144,0.0996392243323144,-0.115597594587823
"8","PR8_1_2_ss2_4 | 5 | Full ROI",0.106804629954402,0.106804629954402,-0.145853169631671
"10","PR8_1_2_ss2_4 | 7 | Full ROI",0.0644468941557682,0.0644468941557682,-0.153226008519168
"11","PR8_1_2_ss2_4 | 8 | Full ROI",0.0647308379682986,0.0647308379682986,-0.150970934602856
"14","PR8_3_4_ss3_8 | 10 | Full ROI",0.0476357501962552,0.0476357501962552,-0.0930907040841894
"15","PR8_3_4_ss3_8 | 11 | Full ROI",0.0477276143708975,0.0477276143708975,-0.115090202956652
"24","PR8_3_4_ss3_8 | 9 | Full ROI",0.0653571846135859,0.0653571846135859,-0.0627912803808569
"9","PR8_1_2_ss2_4 | 6 | Full ROI",0.0798550216298375,0.0798550216298375,-0.126290403407667
"12","PR8_1_2_ss2_4 | 9 | Full ROI",0.0336389904962336,0.0336389904962336,-0.129741919318467
"18","PR8_3_4_ss3_8 | 3 | Full ROI",-0.0230245026807636,-0.0230245026807636,-0.238781007266349
"23","PR8_3_4_ss3_8 | 8 | Full ROI",-0.00035075412136093,-0.00035075412136093,-0.25427837634678
